ID1,ID2,SNP_count_0.001,PRS_0.001,SNP_count_0.01,PRS_0.01,SNP_count_0.05,PRS_0.05,SNP_count_0.1,PRS_0.1,SNP_count_0.2,PRS_0.2,SNP_count_0.5,PRS_0.5
Family50,Mother,2,-0.1022671846164249,13,-0.03365084596414942,14,-0.024014954374573908,18,-0.01484386560657013,21,-0.011149252420751276,33,-0.005904925690770822
Family51,Child,2,-0.1022671846164249,13,-0.03572083009055977,14,-0.02575163993464743,18,-0.019062479880885747,21,-0.01633926846933064,33,-0.00974359548228869
Family51,Mother,2,-0.02196383150240855,13,-0.014958341876920132,14,-0.006472186593410623,18,-0.0052391708230606565,21,-0.006504358916719234,33,-0.0032953277095786864
Family52,Father,2,-0.1022671846164249,13,-0.0331185086286862,14,-0.026858607166036337,18,-0.02109527571288066,21,-0.01808166489675485,33,-0.010154472021492209
Family52,Mother,2,-0.073097423810621,13,-0.022467116354760012,14,-0.013444620037119086,18,-0.009484216536991432,21,-0.008861837353766552,33,-0.004918816409846494
Family53,Child,2,-0.1022671846164249,13,-0.041481472744152405,14,-0.031100808112983453,18,-0.02423260217524876,21,-0.0222358196514753,33,-0.013587900679435726
Family53,Mother,2,-0.1022671846164249,13,-0.03919514713098844,14,-0.028977791472188336,18,-0.020803323143936986,21,-0.016980576077493335,33,-0.009406082239956415
Family53,Father,2,-0.0439276630048171,13,-0.022348882912402408,14,-0.013334831840644162,18,-0.00856569317330218,21,-0.00722368785329454,33,-0.004854898152810592
Family54,Child,2,-0.1022671846164249,13,-0.0356467660687573,14,-0.025682866200116564,18,-0.02018081051716528,21,-0.017297837586141666,33,-0.009685285516589358
Family55,Child,2,-0.08030335311401635,13,-0.02826748614288293,14,-0.01883067769751893,18,-0.016716188710569527,21,-0.013358983125071042,33,-0.008142415804069297
Family55,Mother,2,-0.08030335311401635,13,-0.034442755351446905,14,-0.028273707394478802,18,-0.02411155710938979,21,-0.020667048950905535,33,-0.013432145628148692
Family55,Father,2,-0.1022671846164249,13,-0.030192295076892042,14,-0.020618000279098825,18,-0.01512866447479596,21,-0.013657393398162085,33,-0.0073916563957266545
Family56,Father,2,-0.1022671846164249,13,-0.03044945063887631,14,-0.02085678758665564,18,-0.017392198984762575,21,-0.015640108023284676,33,-0.00911607722334321
Family57,Child,2,-0.05113359230821245,13,-0.034185656072721095,14,-0.02432612120379723,18,-0.017011326063167378,21,-0.014581136625572038,33,-0.00872133856444557
Family57,Mother,2,-0.1022671846164249,13,-0.0377210615521427,14,-0.027608997720403008,18,-0.019767833447488878,21,-0.01763382394618459,33,-0.010839106064245898
Family58,Child,2,-0.1022671846164249,13,-0.034135194802318955,14,-0.02427926430985239,18,-0.01892852522969773,21,-0.015373606436716833,33,-0.008845018987945553
Family58,Mother,2,-0.1022671846164249,13,-0.029549224400790827,14,-0.020020863222719124,18,-0.014830956227357207,21,-0.013368964409695377,33,-0.008586008775539082
Family58,Father,2,-0.1022671846164249,13,-0.03402518969313183,14,-0.024177116708464334,18,-0.01790300289900807,21,-0.016077939949780812,33,-0.009534218019105782
Family59,Child,2,-0.0583395216116078,13,-0.026925146524800228,14,-0.01758421948072785,18,-0.01286606815616679,21,-0.010177214659404596,33,-0.005497414275257188
Family59,Mother,2,-0.073097423810621,13,-0.03792816068136286,14,-0.027801304054678868,18,-0.02076646826809858,21,-0.019856013200474372,33,-0.010734745009601209
Family59,Father,2,-0.1022671846164249,13,-0.03208763008963053,14,-0.022377954219498848,18,-0.01654830728518079,21,-0.013631214943189312,33,-0.007988585341629542
Family60,Child,2,-0.08030335311401635,13,-0.03235574990172123,14,-0.02262692261644021,18,-0.014877091231821661,21,-0.01408918370736989,33,-0.008265694637953486
Family60,Mother,2,-0.1022671846164249,13,-0.034955338281378354,14,-0.025040826111836115,18,-0.01675374889131533,21,-0.015272325535423851,33,-0.0070960734389280515
Family60,Father,2,-0.1022671846164249,13,-0.024886551954002585,14,-0.015691238807844333,18,-0.014325192653118534,21,-0.012278736559815887,33,-0.006523263814062194
Family61,Child,2,-0.1022671846164249,13,-0.03446856947274996,14,-0.024588826503824036,18,-0.0193298907533822,21,-0.017300986682101494,33,-0.010160489826874536
Family61,Mother,2,-0.1022671846164249,13,-0.03209447851077072,14,-0.02609316461385092,18,-0.02135356325517517,21,-0.018264935639799314,33,-0.012282438622998439
Family61,Father,2,-0.08030335311401635,13,-0.029225977865187394,14,-0.019720705725373076,18,-0.016559369504949833,21,-0.013342901529790058,33,-0.0065517582371810235
Family62,Child,2,-0.1022671846164249,13,-0.031825799983580566,14,-0.022134826263881028,18,-0.01928608203996227,21,-0.017953403061792817,33,-0.010134406851215567
Family62,Mother,2,-0.1022671846164249,13,-0.032901220048523194,14,-0.02313343060989918,18,-0.017137468267931954,21,-0.014570923648691489,33,-0.009287371385262698
Family62,Father,2,-0.08030335311401635,13,-0.030334572149366416,14,-0.020750114703539317,18,-0.01433770392226422,21,-0.012289460504797903,33,-0.006855407687656428
Family63,Child,2,-0.1022671846164249,13,-0.029159381707265956,14,-0.019844308993182125,18,-0.013563467653455862,21,-0.01068990128106425,33,-0.006582182336053495
Family63,Father,2,-0.1022671846164249,13,-0.030689050658170864,14,-0.021079273318857727,18,-0.016555585287484756,21,-0.015655519461963297,33,-0.008567777947509434
Family64,Child,2,-0.1022671846164249,13,-0.03317601339141211,14,-0.023388595856867457,18,-0.018189561876234897,21,-0.01529325772071434,33,-0.008308176909085646
Family64,Mother,2,-0.08030335311401635,13,-0.03140324943047039,14,-0.02174245789313586,18,-0.015944227181932304,21,-0.014398989335144444,33,-0.007775302036596253
Family65,Father,2,-0.05113359230821245,13,-0.01712673344619503,14,-0.008485693050594458,18,-0.006760578412168878,21,-0.005794781496144753,33,-0.003075328890204484
Family65,Mother,2,-0.1022671846164249,13,-0.030561914267058506,14,-0.020961218098539115,18,-0.015608564576358418,21,-0.013378769636878644,33,-0.006658179466097409
Family66,Child,2,-0.1022671846164249,13,-0.02716482679617063,14,-0.017806779732714655,18,-0.012948296362313877,21,-0.010980204872447422,33,-0.006306354601956791
Family66,Mother,2,-0.1022671846164249,13,-0.03939492933424593,14,-0.0291633035180703,18,-0.02373688054730221,21,-0.020345897611973324,33,-0.012383156024431326
Family66,Father,2,-0.08030335311401635,13,-0.02232446929330898,14,-0.013312162051485981,18,-0.010512930511533602,21,-0.008160239535433291,33,-0.004532877826850315
Family67,Child,2,-0.08030335311401635,13,-0.029065018066621484,14,-0.019756685612583685,18,-0.014625484752807425,21,-0.01253612978812065,33,-0.007985349110027585
Family67,Mother,2,-0.1022671846164249,13,-0.03178615640412437,14,-0.022098014368671696,18,-0.015386070328478293,21,-0.013920569175041005,33,-0.006912229787016777
Family67,Father,2,-0.073097423810621,13,-0.03352155554051767,14,-0.02370945642389405,18,-0.016882657598159417,21,-0.015085023396660355,33,-0.008494408642813209
Family68,Child,2,-0.073097423810621,13,-0.02505982993327262,14,-0.015852139788595072,18,-0.009448789005342049,21,-0.007248118244411961,33,-0.0024501054732138415
Family68,Father,2,-0.1022671846164249,13,-0.0288723364533859,14,-0.023101175560565013,18,-0.013877111088526009,21,-0.01262717554079619,33,-0.006942653493387504
Family69,Child,2,-0.0583395216116078,13,-0.025038307522081818,14,-0.01583215469248933,18,-0.01247292478786954,21,-0.009882776817443872,33,-0.005079686199893119
Family69,Mother,2,-0.0583395216116078,13,-0.025160283034839644,14,-0.0159454176686216,18,-0.011591444524528594,21,-0.009637728562108937,33,-0.0048512741021644115
Family69,Father,2,-0.08030335311401635,13,-0.033851602828508014,14,-0.02401592890559937,18,-0.019741736366187715,21,-0.016070644553708248,33,-0.00945278891851084
Family70,Child,2,-0.1022671846164249,13,-0.02947150402796509,14,-0.019948694305095223,18,-0.01482104607034651,21,-0.012883214223962394,33,-0.0070635637395452654
Family70,Mother,2,-0.08030335311401635,13,-0.026274410037173377,14,-0.016979964170788637,18,-0.01431173968949017,21,-0.01188432575605931,33,-0.006320924462250354
Family71,Child,2,-0.05113359230821245,13,-0.026706186077851253,14,-0.01738089906570381,18,-0.014674367686720115,21,-0.013310538339248279,33,-0.0071183961938720685
Family71,Father,2,-0.08030335311401635,13,-0.038570931661902404,14,-0.02839816282232274,18,-0.021068528591008606,21,-0.018791247685781273,33,-0.010532687906845759
